Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 50deg, Chopper 230Hz, time constant=0.03, sensitivity=20mV
12.42	8.285754599999999e-11	3.24252e-05	-1.33515e-05	4.7684e-06	-145.494
12.45	8.3057685e-11	-6.67575e-06	-4.95913e-05	6.19893e-05	-116.298
12.48	8.3257824e-11	1.62126e-05	1.23978e-05	7.05724e-05	48.942
12.51	8.3457963e-11	-2.3842e-05	1.90736e-06	2.3842e-05	-173.088
12.54	8.365810199999999e-11	3.33788e-05	-6.8665e-05	4.29156e-05	-141.342
12.57	8.3858241e-11	2.86103e-05	2.3842e-05	1.04905e-05	-135.0
12.6	8.405837999999999e-11	-2.6703e-05	4.48229e-05	6.10356e-05	97.65
12.63	8.4258519e-11	-2.47956e-05	-2.0981e-05	3.52862e-05	178.878
12.66	8.4458658e-11	-1.81199e-05	-9.5368e-06	4.38693e-05	133.668
12.69	8.465879699999999e-11	-7.34334e-05	-3.43325e-05	7.43871e-05	-138.282
12.72	8.4858936e-11	-8.86922e-05	-1.14442e-05	8.86922e-05	-145.98
12.75	8.505907499999999e-11	-2.86104e-06	-9.53682e-07	3.43325e-05	-120.816
12.78	8.5259214e-11	-1.71663e-05	-1.43052e-05	2.86103e-05	-26.562
12.81	8.5459353e-11	3.14715e-05	-2.6703e-05	4.10082e-05	-96.954
12.84	8.5659492e-11	-1.52589e-05	1.04905e-05	1.90736e-05	-39.906
12.87	8.585963099999999e-11	-6.67575e-06	-3.81473e-06	2.6703e-05	-26.028
12.9	8.605977e-11	-3.33788e-05	-3.62399e-05	7.05724e-05	-86.868
12.93	8.625990899999999e-11	3.81473e-06	3.33788e-05	6.19893e-05	17.448
12.96	8.6460048e-11	-5.6267e-05	-2.76567e-05	8.39238e-05	-167.142
12.99	8.6660187e-11	-1.33515e-05	-2.28883e-05	3.05178e-05	-48.144
13.02	8.686032599999999e-11	-5.81744e-05	4.7684e-06	2.00273e-05	-27.582
13.05	8.7060465e-11	-1.04905e-05	-3.62399e-05	3.62399e-05	-159.624
13.08	8.726060399999999e-11	5.53133e-05	-2.00273e-05	1.62126e-05	-177.51
13.11	8.7460743e-11	-3.52862e-05	2.86104e-06	5.14986e-05	-126.216
13.14	8.7660882e-11	5.72208e-06	1.71663e-05	2.28883e-05	66.372
13.17	8.7861021e-11	-1.23978e-05	-4.86376e-05	7.05724e-05	-80.31
13.2	8.806115999999999e-11	-4.10082e-05	8.58313e-06	1.52589e-05	-110.226
13.23	8.8261299e-11	4.57766e-05	-5.9128e-05	4.38693e-05	-149.982
13.26	8.8461438e-11	-6.48503e-05	5.72207e-05	5.53133e-05	106.146
13.29	8.866157699999999e-11	-7.05724e-05	1.62126e-05	5.9128e-05	-176.988
13.32	8.8861716e-11	1.71663e-05	5.6267e-05	8.01091e-05	93.21
13.35	8.906185499999999e-11	3.05178e-05	-4.48229e-05	2.19346e-05	-155.772
13.38	8.9261994e-11	-3.05178e-05	4.7684e-06	3.05178e-05	-132.66
13.41	8.946213299999999e-11	-3.62399e-05	1.52589e-05	4.57766e-05	121.374
13.44	8.9662272e-11	2.0981e-05	-2.0981e-05	6.5804e-05	-49.818
13.47	8.9862411e-11	-4.29156e-05	-2.6703e-05	7.72481e-05	-155.094
13.5	9.006255e-11	-2.28883e-05	2.86104e-06	2.3842e-05	-82.236
13.53	9.026268899999999e-11	7.62945e-06	-3.62399e-05	3.62399e-05	-50.79
13.56	9.0462828e-11	-1.43052e-05	-3.33788e-05	2.86103e-05	-5.712
13.59	9.0662967e-11	8.01091e-05	3.81472e-05	7.62944e-05	65.628
13.62	9.086310599999999e-11	2.3842e-05	-3.71935e-05	4.67303e-05	-49.668
13.65	9.1063245e-11	-3.14715e-05	3.33788e-05	2.19346e-05	-152.358
13.68	9.126338399999999e-11	3.62399e-05	-4.29156e-05	6.38966e-05	-51.006
13.71	9.1463523e-11	4.76839e-05	6.67575e-06	7.62944e-05	43.668
13.74	9.166366199999999e-11	-7.62945e-06	-1.43052e-05	9.53682e-07	79.92
13.77	9.1863801e-11	-4.38693e-05	5.72208e-06	1.71663e-05	5.574
13.8	9.206394e-11	-2.76567e-05	-2.6703e-05	5.0545e-05	-101.43
13.83	9.2264079e-11	2.86104e-06	-4.29156e-05	2.86103e-05	-158.196
13.86	9.246421799999999e-11	-3.81472e-05	-1.43052e-05	5.24523e-05	-155.556
13.89	9.2664357e-11	2.86104e-06	-3.62399e-05	4.38693e-05	-58.134
13.92	9.2864496e-11	-2.86104e-06	-3.71935e-05	5.9128e-05	-133.002
13.95	9.306463499999999e-11	-4.7684e-06	2.00273e-05	5.0545e-05	157.782
13.98	9.3264774e-11	2.47956e-05	1.52589e-05	3.24252e-05	-125.91
14.01	9.346491299999999e-11	-3.43325e-05	5.72208e-06	1.81199e-05	-2.118
14.04	9.366505199999999e-11	2.57493e-05	3.52862e-05	5.72207e-05	61.128
14.07	9.386519099999999e-11	9.25069e-05	2.6703e-05	0.000100136	3.492
14.1	9.406533e-11	-0.000104905	-9.5368e-06	7.24797e-05	-170.538
14.13	9.4265469e-11	-2.00273e-05	-1.71663e-05	8.10628e-05	177.672
14.16	9.4465608e-11	-0.000103951	-2.57493e-05	0.000117302	-152.712
14.19	9.466574699999999e-11	-6.67575e-06	-2.0981e-05	2.3842e-05	68.358
14.22	9.4865886e-11	1.71663e-05	-3.43325e-05	1.04905e-05	45.828
14.25	9.5066025e-11	8.58313e-06	-5.53133e-05	3.81472e-05	-171.384
14.28	9.526616399999999e-11	-4.95913e-05	-2.9564e-05	4.76839e-05	-152.676
14.31	9.5466303e-11	5.14986e-05	-2.86104e-06	2.3842e-05	68.406
14.34	9.566644199999999e-11	1.23978e-05	2.3842e-05	4.19619e-05	175.362
14.37	9.586658099999999e-11	1.90736e-05	-7.34334e-05	6.77113e-05	-106.038
14.4	9.606671999999999e-11	3.14715e-05	1.81199e-05	5.6267e-05	0.972
14.43	9.6266859e-11	-6.2943e-05	3.05178e-05	2.76567e-05	-111.804
14.46	9.6466998e-11	0.0	-7.62945e-06	2.00273e-05	108.432
14.49	9.6667137e-11	1.62126e-05	5.72208e-06	1.04905e-05	-19.656
14.52	9.686727599999999e-11	1.04905e-05	5.0545e-05	4.86376e-05	85.236
14.55	9.7067415e-11	2.28883e-05	-9.53682e-07	3.24252e-05	-3.714
14.58	9.7267554e-11	-4.7684e-06	3.62399e-05	3.14715e-05	73.854
14.61	9.746769299999999e-11	0.0	1.90736e-05	2.0981e-05	62.244
14.64	9.7667832e-11	2.19346e-05	-2.0981e-05	3.71935e-05	-104.514
14.67	9.786797099999999e-11	-2.00273e-05	2.28883e-05	8.58313e-06	32.004
14.7	9.806810999999999e-11	-4.29156e-05	-1.81199e-05	5.72208e-06	106.584
14.73	9.8268249e-11	-2.86104e-06	3.43325e-05	7.72481e-05	26.244
14.76	9.8468388e-11	3.81473e-06	-4.67303e-05	1.90736e-05	166.506
14.79	9.866852699999999e-11	-4.00546e-05	2.3842e-05	3.43325e-05	143.748
14.82	9.8868666e-11	1.04905e-05	6.38966e-05	6.38966e-05	52.236
14.85	9.906880499999999e-11	2.86103e-05	-2.86104e-06	3.43325e-05	-98.394
14.88	9.9268944e-11	-3.33788e-05	4.57766e-05	4.95913e-05	-165.69
14.91	9.9469083e-11	-5.14986e-05	2.19346e-05	4.19619e-05	64.854
14.94	9.9669222e-11	-2.86103e-05	1.90736e-06	3.52862e-05	-157.38
14.97	9.9869361e-11	3.81473e-06	-2.00273e-05	3.14715e-05	-139.086
15.0	1.0006949999999999e-10	2.86103e-05	-2.86104e-06	4.38693e-05	-24.678
